pajama-sam2;https://en.wikipedia.org/wiki/Pajama_Sam
pajama-sam3;https://en.wikipedia.org/wiki/Pajama_Sam
personal-nightmare;http://en.wikipedia.org/wiki/Personal_Nightmare
planescape-torment;https://en.wikipedia.org/wiki/Planescape:_Torment
policequest1;http://en.wikipedia.org/wiki/Police_Quest
policequest2;http://en.wikipedia.org/wiki/Police_Quest
policequest3;http://en.wikipedia.org/wiki/Police_Quest
quake;http://en.wikipedia.org/wiki/Quake_(video_game)
quake2;http://en.wikipedia.org/wiki/Quake_II
quake3;http://en.wikipedia.org/wiki/Quake_3_Arena
quake4;http://en.wikipedia.org/wiki/Quake_4
return-to-zork;http://en.wikipedia.org/wiki/Return_to_Zork
ringworld1;https://en.wikipedia.org/wiki/Ringworld#Games
ringworld2;https://en.wikipedia.org/wiki/Ringworld#Games
rott;https://en.wikipedia.org/wiki/Rise_of_the_Triad
rtcw;http://en.wikipedia.org/wiki/Return_to_Castle_Wolfenstein
sam-and-max;http://en.wikipedia.org/wiki/Sam_%26_Max_Hit_the_Road
sherlock-holmes1;https://en.wikipedia.org/wiki/The_Lost_Files_of_Sherlock_Holmes
sherlock-holmes2;https://en.wikipedia.org/wiki/The_Lost_Files_of_Sherlock_Holmes
simon1;http://en.wikipedia.org/wiki/Simon_The_Sorcerer
simon2;http://en.wikipedia.org/wiki/Simon_the_Sorcerer_II:_The_Lion%2C_the_Wizard_and_the_Wardrobe
slater;https://en.wikipedia.org/wiki/Slater_%26_Charlie_Go_Camping
soltys;http://pl.wikipedia.org/wiki/So%C5%82tys_%28gra_komputerowa%29
spacequest1;http://en.wikipedia.org/wiki/Space_Quest_I:_The_Sarien_Encounter
spacequest2;http://en.wikipedia.org/wiki/Space_Quest_II:_Vohaul%27s_Revenge
spacequest3;http://en.wikipedia.org/wiki/Space_Quest_III:_The_Pirates_of_Pestulon
spacequest4;http://en.wikipedia.org/wiki/Space_Quest_IV:_Roger_Wilco_and_the_Time_Rippers
spacequest5;http://en.wikipedia.org/wiki/Space_Quest_V:_The_Next_Mutation
spear-of-destiny;http://en.wikipedia.org/wiki/Spear_of_Destiny_(video_game)
strife;http://en.wikipedia.org/wiki/Strife_%28video_game%29
syndicate;https://en.wikipedia.org/wiki/Syndicate_(video_game)
t7g;http://en.wikipedia.org/wiki/The_7th_Guest
teenagent;http://en.wikipedia.org/wiki/Teenagent
tentacle;http://en.wikipedia.org/wiki/Day_of_the_Tentacle
theme-hospital;https://en.wikipedia.org/wiki/Theme_Hospital
toltecs;http://en.wikipedia.org/wiki/3_Skulls_of_the_Toltecs
tony;https://en.wikipedia.org/wiki/Tony_Tough_and_the_Night_of_Roasted_Moths
toonstruck;http://en.wikipedia.org/wiki/Toonstruck
touche;https://en.wikipedia.org/wiki/Touch%C3%A9:_The_Adventures_of_the_Fifth_Musketeer
ttd;https://en.wikipedia.org/wiki/Transport_Tycoon
tyrian;https://en.wikipedia.org/wiki/Tyrian_(video_game)
urban-runner;http://en.wikipedia.org/wiki/Urban_Runner
waxworks;http://en.wikipedia.org/wiki/Waxworks_(1992_video_game)
ween;https://en.wikipedia.org/wiki/The_Prophecy_(video_game)
wolf3d;http://en.wikipedia.org/wiki/Wolfenstein_3D
woodruff;http://en.wikipedia.org/wiki/The_Bizarre_Adventures_of_Woodruff_and_the_Schnibble
xcom-ufo;https://en.wikipedia.org/wiki/UFO:_Enemy_Unknown
zak;http://en.wikipedia.org/wiki/Zak_McKracken_and_the_Alien_Mindbenders
zork;https://en.wikipedia.org/wiki/Zork
zork-inquisitor;http://en.wikipedia.org/wiki/Zork:_Grand_Inquisitor
zork-nemesis;http://en.wikipedia.org/wiki/Zork_Nemesis
